3		 "~~~~~~~~~:." 7 1
		 "         :, '" 8 1
		 "---------'" 9 1
		 
3		 ":~~~~~~~~~~~:," 7 10
		 ":           :.'" 8 10 
		 "'-----------'" 9 10
		 
3		 ":~~~~~~~~~~~:" 7 22
		 ":           ;" 8 22
		 "'-----------'" 9 22
		 
3	   	  ",:~~~~~~~~~~~:" 7 33
		 "'.;           :" 8 32
 	 	   "'-----------'" 9 34
		   
3	  	    ".:~~~~~~~~~" 7 45
		  "' ,:         " 8 43
	   	     "'---------" 9 46
			 
6		 "," 5 1
		 "| '  ." 6 1
		 ":    : ' ;" 7 1
		 "|    |   :" 8 1
		 ":    : . '" 9 1
		 "| .  '" 10 1
		 
6		 ",.,.,.,.,.,.,.,.,.." 5 1
		 "         |        :'." 6 1
		 "'''|'''''''''|'''':  :" 7 1
		 "------------------;  :" 8 1
		 ".........|........: .'" 9 1
		 "___|_________|____;'" 10 1
		 
6		 ".,.,.,.,.,.,.,.,.,." 5 19
		 ":        |        :" 6 19
		 ":'''|''''''''|'''';" 7 19
		 ";-----------------;" 8 19
		 ":........|........:" 9 19
		 ";___|________|____;" 10 19
		 
6		    "..,.,.,.,.,.,.,.,.," 5 37
		  ".':        |         " 6 35
		 ":  ;''''|'''''''''|'''" 7 34
		 ":  ;------------------" 8 34
		 "'. :........|........." 9 34
		   "';____|_________|___" 10 36

6				  "," 5 55
			 ".  ' |" 6 50
		 "; ' :    :" 7 46
		 ":   |    |" 8 46
		 "' . :    :" 9 46
			 "'  . |" 10 50
			 
9		 "-.-.----,-,---," 4 1
		 " |            | ' ." 5 1
		 ".--,-.-,.--.--''-.:" 6 1
		 "       |      |   :" 7 1
		 ",.--.--.-,-.--',..;" 8 1
		 " |            |  ,:" 9 1
		 ",-.---,-.--.--.'  ;" 10 1
		 "       |      | .'" 11 1
		 ",-.-.---.,-.--," 12 1
		 
9		 ",,-,---.-.-.------.-.-.--.," 4 15
		 "|            |            |" 5 15
		 "'--,-----,----,-.--,.-,---'" 6 15
		 ":      |           |      ;" 7 15
		 "'--,.--..,--..--.-..--,--.'" 8 15
		 "|            |            |" 9 15
		 "'-,-.---.,-...--.,-,--.-,-'" 10 15
		 ";      |           |      ;" 11 15
		 "'-.---,---.----,--,----.-.'" 12 15
	
9			 ",--,-,-.---,.--" 4 41
		 ". ' |            | " 5 37
		 ":.-~'-,-.-.-,--.--," 6 37
		 ":   ;      |       " 7 37
		 ";..,'-,.--.-,.--.-." 8 37
		 ":,  |            | " 9 37
		 ";  ''---,-.---.-.--"10 37
		  "'. ;      |       " 11 38
		     "'--.--.--..-,-." 12 41
	
13		 ",--,-.-.." 2 1
		 "       |  ';," 3 1
		 "       |   | ';" 4 1
		 "---.-.-,, .;  |" 5 1
		 "       |   ; ~;" 6 1
		 "       |   |  :" 7 1
		 "--.-.--;* .;..'" 8 1
		 "       |   |  |" 9 1
		 "       |   |. ;" 10 1
		 "--.,---;* '|  ;" 11 1
		 "       |   | ,'" 12 1
		 "       |   ;'" 13 1
		 "..-----; '" 14 1

13		 ".---..-..-,-,.-,..-..,.-.-,-,-,.-.,-,.,-," 2 8
		 "!                   !                   |" 3 8
		 "!                   :                   |" 4 8
		 ",-.---.--,----.-,--.'.-.--,--,.,.--.----," 5 8
		 ".         ;                   :         ;" 6 8
		 ";         :                   ;         :" 7 8
		 ";,--.-----.-.-.-,-...,----,.--.--,..-.-,;" 8 8
		 "|                   :                   |" 9 8
		 "|                   ;                   |" 10 8
		 ";-,--..;-...--,.,..,.-,----.-,.,-.,-.,--;" 11 8
		 ":         :                    ;        :" 12 8
		 ";         ;                    :        ;" 13 8
		 "'...-,-,.,.,,,.,.,....,.,.-..,.---..--.-'" 14 8
		 
13	    	   ",.,.-.,-." 2 47
		   ".;'~ |       " 3 43
		 ";'     |       " 4 41
		 "|  _ ,.,-.,-.-." 5 41
		 "'~     ;       " 6 41
		 ";      :       " 7 41
		 "', - ,.;.,-.,.-" 8 41
		 "|      |       " 9 41
		 "'.     |       " 10 41
		 ";  ' . ;-.-,.-," 11 41
		 "',     :       " 12 41
		   "'~,  ;       " 13 43
			   "';---.-,-" 14 47
	
17		 "P*-." 1 1
		 "I    '-." 2 1
		 "|      !" 3 1
		 "i      !" 4 1
		 ">~~--,.," 5 1
		 "[      ." 6 1
		 "}      ;" 7 1
		 "|   _ .;" 8 1
		 "l^     |" 9 1
		 "i      |" 10 1
		 "|     ,;" 11 1
		 "I  . ' :" 12 1
		 "['     ;" 13 1
		 "}      ;" 14 1
		 "|    ," 15 1
		 "l . '" 16 1
		 "b'" 17 1

0
	
17			 ", *'" 1 52
		 ",-'    I" 2 48
		 "|      |" 3 48
		 "|      i" 4 48
		 ",.,--~~<" 5 48
		 ";      ]" 6 48
		 ":      }" 7 48
		 ";. _   |" 8 48
		 "|     ^j" 9 48
		 "|      i" 10 48
		 ";,     |" 11 48
		 ": ' .  I" 12 48
		 ";     ']" 13 48
		 ";      }" 14 48
		   ",    |" 15 50
			 "'. J" 16 52
			   "'." 17 54
			   
3		 "~[=^=]~~~:." 7 1                                        
		 " |.s.|   :,^'" 8 1                                       
		 "-|mZm|---'" 9 1
	
3		 ":~~~[=^=]~~~:," 7 10
		 ":   |.s.|   ::'" 8 10
		 "'---|mZm|---'" 9 10
	
3		 ":~~~[=^=]~~~:" 7 22
		 ":   |.s.|   ;" 8 22
		 "'---|mZm|---'" 9 22
	
3	   	  ",:~~~[=^=]~~~:" 7 33
		 "':;   |.s.|   :" 8 32
 	 	   "'---|mZm|---'" 9 34
	
3	  	    ".:~~~[=^=]~" 7 45
		  "'^,:   |.s.| " 8 43
	   	     "'---|mZm|-" 9 46
	
6		 "," 5 1                                 
		 "| '  ." 6 1
		 ":    :[^+;" 7 1
		 "|    ||*|:" 8 1
		 ":    :[.+'" 9 1
		 "| .  '" 10 1
	
6		 ",.,.,.[-=^=-].,.,.." 5 1                                 
		 "      |n * l|     :|\" 6 1
		 "~~~|~~|mb,dm|~|~~~:|*|" 7 1
		 "------|>mnmn|-----;| |" 8 1
		 "......|mnmnm|.....:|.'" 9 1
		 "___|__[mmmmm]_|___;'" 10 1
	
6		 ".,.,.,[-=^=-],.,.,." 5 19
		 ":     |n * l|     :" 6 19
		 ":~~~|~|mb,dm|~|~~~;" 7 19
		 ";-----|>mnmn|-----;" 8 19
		 ":.....|mnmnm|.....:" 9 19
		 ";___|_[mmmmm]_|___;" 10 19
	
6		    "..,.,.[-=^=-].,.,.," 5 37
		  "/|:     |n * l|      " 6 35
		 "|*|;~~~|~|mb,dm|~|~~~~" 7 34
		 "| |;-----|>mnmn|------" 8 34
		 "'.|:.....|mnmnm|......" 9 34
		   "';___|_[mmmmm]_|____" 10 36
	
6				  "," 5 55
			 ".  ' |" 6 50
		 ";+^]:    :" 7 46
		 ":|*||    |" 8 46
		 "'+.]:    :" 9 46
			 "'  . |" 10 50
	
9		 "=^==--]-,-,---,." 4 1
		 "p'qmd||       ||^:." 5 1
		 " * lm||,.--.--'|*|:" 6 1
		 "b,dmn|||      ||u|:" 7 1
		 "mnmnm||.-,-.--'|W|;" 8 1
		 "nmnmm||       ||M|:" 9 1
		 ".nnnn||-.--.--.|p|;" 10 1
		 ".nnnq|||      ||/'" 11 1
		 "mmmmmd]-.,-.--," 12 1
	
9		 ",,-,---.[--==^==--]-.-.--.," 4 15
		 "|       ||hnp'qmd||       |" 5 15
		 "'--,----||nn * lm||-.-,---'" 6 15
		 ":       ||mmb,dmn||       ;" 7 15
		 "'--,.---||<>mnmnm||---,--.'" 8 15
		 "|       ||mmnmnmm||       |" 9 15
		 "'-,-.---||nn.nnnn||---.-,-'" 10 15
		 ";       ||pn.nnnq||       ;" 11 15
		 "'-.---,-[bmmmmmmmd]----.-.'" 12 15  
	
9		    ".,--,-,-.[--==^=" 4 40
		 ".:^||       ||hnp'q" 5 37
